xpath,module,type,enum,kind,description,default,platforms
 3 compare-origin-validation-state,^,,,c,,,A
 3 d-path-length-ignore,^,,,c,,,A
 3 deterministic-med,^,,,c,,,A
 3 ebgp-ibgp-equal,^,,,c,,,A
 3 ignore-nh-metric,^,,,c,,,A
 3 ignore-router-id,^,,,c,,,A
 3 origin-invalid-unusable,^,,,c,,,A
 2 bfd-enable,^,,,c,,,A
 2 bfd-strict-mode,^,,,c,,,A
 3 advertise,^,,,c,,,A
 3 next-hop-reachability,^,,,c,,,A
 2 bgp-tunnel-metric,^,,,c,,,A
 2 bgp-tunnel-preference,^,,,c,,,A
 2 block-prefix-sid,^,,,c,,,A
 2 cluster,^,,,c,,,A
 2 connect-retry,^,,,c,,,A
 2 convergence,^,,,c,,,A
 3 family,^,,,c,,,A
 4 max-wait-to-advertise,^,,,c,,,A
 3 min-wait-to-advertise,^,,,c,,,A
 2 damp-peer-oscillations,^,,,c,,,A
 2 damping,^,,,c,,,A
 2 def-recv-evpn-encap,^,,,c,,,A
 2 default-label-preference,^,,,c,,,A
 2 default-preference,^,,,c,,,A
 2 description,^,,,c,,,A
 2 disable-4byte-asn,^,,,c,,,A
 2 disable-client-reflect,^,,,c,,,A
 2 disable-communities,^,,,c,,,A
 2 disable-fast-external-failover,^,,,c,,,A
 2 disable-route-table-install,^,,,c,,,A
 2 dynamic-neighbor-limit,^,,,c,,,A
 2 ebgp-default-reject-policy,^,,,c,,,A
 2 egress-peer-engineering,^,,,c,,,A
 3 shutdown,^,,,c,,,A
 2 enable-inter-as-vpn,^,,,c,,,A
 2 enable-peer-tracking,^,,,c,,,A
 2 enable-rr-vpn-forwarding,^,,,c,,,A
 2 enable-subconfed-vpn-forwarding,^,,,c,,,A
 2 enforce-first-as,^,,,c,,,A
 2 error-handling,^,,,c,,,A
 3 legacy-mode,^,,,c,,,A
 3 update-fault-tolerance,^,,,c,,,A
 2 export,^,,,c,,,A
 2 extended-nh-encoding,^,,,c,,,A
 2 family,^,,,c,,,A
 2 flowspec,^,,,c,,,A
 3 validate-dest-prefix,^,,,c,,,A
 3 validate-redirect-ip,^,,,c,,,A
 2 graceful-restart,^,,,c,,,A
 3 enable-notification,^,,,c,,,A
 3 long-lived,^,,,c,,,A
 4 advertise-stale-to-all-neighbors,^,,,c,,,A
 4 advertised-stale-time,^,,,c,,,A
 4 family,^,,,c,,,A
 5 advertised-stale-time,^,,,c,,,A
 5 helper-override-stale-time,^,,,c,,,A
 4 forwarding-bits-set,^,,,c,,,A
 4 helper-override-restart-time,^,,,c,,,A
 4 helper-override-stale-time,^,,,c,,,A
 3 restart-time,^,,,c,,,A
 3 stale-routes-time,^,,,c,,,A
 2 group,^,,,c,,,A
 3 add-paths,^,,,c,,,A
 4 evpn,^,,,c,,,A
 4 ipv4,^,,,c,,,A
 4 ipv6,^,,,c,,,A
 4 label-ipv4,^,,,c,,,A
 4 label-ipv6,^,,,c,,,A
 4 mcast-vpn-ipv4,^,,,c,,,A
 4 mcast-vpn-ipv6,^,,,c,,,A
 4 mvpn-ipv4,^,,,c,,,A
 4 mvpn-ipv6,^,,,c,,,A
 4 vpn-ipv4,^,,,c,,,A
 4 vpn-ipv6,^,,,c,,,A
 3 advertise-inactive,^,,,c,,,A
 3 advertise-ipv6-next-hops,^,,,c,,,A
 3 aggregator-id-zero,^,,,c,,,A
 3 aigp,^,,,c,,,A
 3 as-override,^,,,c,,,A
 3 auth-keychain,^,,,c,,,A
 3 authentication-key,^,,,c,,,A
 3 bfd-enable,^,,,c,,,A
 3 bfd-strict-mode,^,,,c,,,A
 4 advertise,^,,,c,,,A
 4 next-hop-reachability,^,,,c,,,A
 3 block-prefix-sid,^,,,c,,,A
 3 cluster,^,,,c,,,A
 3 connect-retry,^,,,c,,,A
 3 damp-peer-oscillations,^,,,c,,,A
 3 damping,^,,,c,,,A
 3 def-recv-evpn-encap,^,,,c,,,A
 3 default-label-preference,^,,,c,,,A
 3 default-preference,^,,,c,,,A
 3 default-route-target,^,,,c,,,A
 3 description,^,,,c,,,A
 3 disable-4byte-asn,^,,,c,,,A
 3 disable-capability-negotiation,^,,,c,,,A
 3 disable-client-reflect,^,,,c,,,A
 3 disable-communities,^,,,c,,,A
 3 disable-fast-external-failover,^,,,c,,,A
 3 dynamic-neighbor,^,,,c,,,A
 4 interface,^,,,c,,,A
 5 allowed-peer-as,^,,,c,,,A
 5 max-sessions,^,,,c,,,A
 4 match,^,,,c,,,A
 5 prefix,^,,,c,,,A
 6 allowed-peer-as,^,,,c,,,A
 3 dynamic-neighbor-limit,^,,,c,,,A
 3 ebgp-default-reject-policy,^,,,c,,,A
 3 egress-engineering,^,,,c,,,A
 4 shutdown,^,,,c,,,A
 3 egress-peer-engineering-label-unicast,^,,,c,,,A
 3 enable-origin-validation,^,,,c,,,A
 3 enable-peer-tracking,^,,,c,,,A
 3 enforce-first-as,^,,,c,,,A
 3 error-handling,^,,,c,,,A
 4 update-fault-tolerance,^,,,c,,,A
 3 export,^,,,c,,,A
 3 extended-nh-encoding,^,,,c,,,A
 3 family,^,,,c,,,A
 3 graceful-restart,^,,,c,,,A
 4 enable-notification,^,,,c,,,A
 4 long-lived,^,,,c,,,A
 5 advertise-stale-to-all-neighbors,^,,,c,,,A
 5 advertised-stale-time,^,,,c,,,A
 5 family,^,,,c,,,A
 6 advertised-stale-time,^,,,c,,,A
 6 helper-override-stale-time,^,,,c,,,A
 5 forwarding-bits-set,^,,,c,,,A
 5 helper-override-restart-time,^,,,c,,,A
 5 helper-override-stale-time,^,,,c,,,A
 4 restart-time,^,,,c,,,A
 4 stale-routes-time,^,,,c,,,A
 3 hold-time,^,,,c,,,A
 3 import,^,,,c,,,A
 3 initial-send-delay-zero,^,,,c,,,A
 3 keepalive,^,,,c,,,A
 3 label-preference,^,,,c,,,A
 3 link-bandwidth,^,,,c,,,A
 4 accept-from-ebgp,^,,,c,,,A
 4 add-to-received-ebgp,^,,,c,,,A
 4 aggregate-used-paths,^,,,c,,,A
 4 send-to-ebgp,^,,,c,,,A
 3 local-address,^,,,c,,,A
 3 local-as,^,,,c,,,A
 3 local-preference,^,,,c,,,A
 3 loop-detect,^,,,c,,,A
 3 loop-detect-threshold,^,,,c,,,A
 3 med-out,^,,,c,,,A
 3 min-route-advertisement,^,,,c,,,A
 3 monitor,^,,,c,,,A
 4 route-monitoring,^,,,c,,,A
 4 shutdown,^,,,c,,,A
 4 station,^,,,c,,,A
 3 multihop,^,,,c,,,A
 3 multipath-eligible,^,,,c,,,A
 3 neighbor,^,,,c,,,A
 4 add-paths,^,,,c,,,A
 5 evpn,^,,,c,,,A
 5 ipv4,^,,,c,,,A
 5 ipv6,^,,,c,,,A
 5 label-ipv4,^,,,c,,,A
 5 label-ipv6,^,,,c,,,A
 5 mcast-vpn-ipv4,^,,,c,,,A
 5 mcast-vpn-ipv6,^,,,c,,,A
 5 mvpn-ipv4,^,,,c,,,A
 5 mvpn-ipv6,^,,,c,,,A
 5 vpn-ipv4,^,,,c,,,A
 5 vpn-ipv6,^,,,c,,,A
 4 advertise-inactive,^,,,c,,,A
 4 advertise-ipv6-next-hops,^,,,c,,,A
 4 advertise-ldp-prefix,^,,,c,,,A
 4 aggregator-id-zero,^,,,c,,,A
 4 aigp,^,,,c,,,A
 4 as-override,^,,,c,,,A
 4 auth-keychain,^,,,c,,,A
 4 authentication-key,^,,,c,,,A
 4 bfd-enable,^,,,c,,,A
 4 bfd-strict-mode,^,,,c,,,A
 5 advertise,^,,,c,,,A
 5 next-hop-reachability,^,,,c,,,A
 4 block-prefix-sid,^,,,c,,,A
 4 cluster,^,,,c,,,A
 4 connect-retry,^,,,c,,,A
 4 damp-peer-oscillations,^,,,c,,,A
 4 damping,^,,,c,,,A
 4 def-recv-evpn-encap,^,,,c,,,A
 4 default-label-preference,^,,,c,,,A
 4 default-preference,^,,,c,,,A
 4 default-route-target,^,,,c,,,A
 4 description,^,,,c,,,A
 4 disable-4byte-asn,^,,,c,,,A
 4 disable-capability-negotiation,^,,,c,,,A
 4 disable-client-reflect,^,,,c,,,A
 4 disable-communities,^,,,c,,,A
 4 disable-fast-external-failover,^,,,c,,,A
 4 ebgp-default-reject-policy,^,,,c,,,A
 4 egress-engineering,^,,,c,,,A
 5 shutdown,^,,,c,,,A
 4 egress-peer-engineering-label-unicast,^,,,c,,,A
 4 enable-origin-validation,^,,,c,,,A
 4 enable-peer-tracking,^,,,c,,,A
 4 enforce-first-as,^,,,c,,,A
 4 error-handling,^,,,c,,,A
 5 update-fault-tolerance,^,,,c,,,A
 4 export,^,,,c,,,A
 4 extended-nh-encoding,^,,,c,,,A
 4 family,^,,,c,,,A
 4 graceful-restart,^,,,c,,,A
 5 enable-notification,^,,,c,,,A
 5 long-lived,^,,,c,,,A
 6 advertise-stale-to-all-neighbors,^,,,c,,,A
 6 advertised-stale-time,^,,,c,,,A
 6 family,^,,,c,,,A
 7 advertised-stale-time,^,,,c,,,A
 7 helper-override-stale-time,^,,,c,,,A
 6 forwarding-bits-set,^,,,c,,,A
 6 helper-override-restart-time,^,,,c,,,A
 6 helper-override-stale-time,^,,,c,,,A
 5 restart-time,^,,,c,,,A
 5 stale-routes-time,^,,,c,,,A
 4 hold-time,^,,,c,,,A
 4 import,^,,,c,,,A
 4 initial-send-delay-zero,^,,,c,,,A
 4 keepalive,^,,,c,,,A
 4 l2vpn-cisco-interop,^,,,c,,,B
 4 label-preference,^,,,c,,,A
 4 link-bandwidth,^,,,c,,,A
 5 accept-from-ebgp,^,,,c,,,A
 5 add-to-received-ebgp,^,,,c,,,A
 5 aggregate-used-paths,^,,,c,,,A
 5 send-to-ebgp,^,,,c,,,A
 4 local-address,^,,,c,,,A
 4 local-as,^,,,c,,,A
 4 local-preference,^,,,c,,,A
 4 loop-detect,^,,,c,,,A
 4 loop-detect-threshold,^,,,c,,,A
 4 med-out,^,,,c,,,A
 4 min-route-advertisement,^,,,c,,,A
 4 monitor,^,,,c,,,A
 5 route-monitoring,^,,,c,,,A
 5 shutdown,^,,,c,,,A
 5 station,^,,,c,,,A
 4 multihop,^,,,c,,,A
 4 multipath-eligible,^,,,c,,,A
 4 next-hop-self,^,,,c,,,A
 4 next-hop-unchanged,^,,,c,,,A
 4 outbound-route-filtering,^,,,c,,,A
 5 extended-community,^,,,c,,,A
 6 accept-orf,^,,,c,,,A
 6 send-orf,^,,,c,,,A
 4 passive,^,,,c,,,A
 4 path-mtu-discovery,^,,,c,,,A
 4 peer-as,^,,,c,,,A
 4 preference,^,,,c,,,A
 4 prefix-limit,^,,,c,,,A
 4 remove-private,^,,,c,,,A
 4 segment-routing-v6,^,,,c,,,G
 5 route-advertisement,^,,,c,,,G
 6 drop-routes-with-srv6-tlvs,^,,,c,,,G
 6 family,^,,,c,,,G
 7 strip-srv6-tlvs,^,,,c,,,G
 4 selective-label-ipv4-install,^,,,c,,,A
 4 send-default,^,,,c,,,A
 4 shutdown,^,,,c,,,A
 4 split-horizon,^,,,c,,,A
 4 tcp-mss,^,,,c,,,A
 4 third-party-nexthop,^,,,c,,,A
 4 ttl-security,^,,,c,,,A
 4 type,^,,,c,,,A
 4 vpn-apply-export,^,,,c,,,A
 4 vpn-apply-import,^,,,c,,,A
 3 next-hop-self,^,,,c,,,A
 3 next-hop-unchanged,^,,,c,,,A
 3 outbound-route-filtering,^,,,c,,,A
 4 extended-community,^,,,c,,,A
 5 accept-orf,^,,,c,,,A
 5 send-orf,^,,,c,,,A
 3 passive,^,,,c,,,A
 3 path-mtu-discovery,^,,,c,,,A
 3 peer-as,^,,,c,,,A
 3 preference,^,,,c,,,A
 3 prefix-limit,^,,,c,,,A
 3 remove-private,^,,,c,,,A
 3 segment-routing-v6,^,,,c,,,G
 4 route-advertisement,^,,,c,,,G
 5 drop-routes-with-srv6-tlvs,^,,,c,,,G
 5 family,^,,,c,,,G
 6 strip-srv6-tlvs,^,,,c,,,G
 3 selective-label-ipv4-install,^,,,c,,,A
 3 send-default,^,,,c,,,A
 3 shutdown,^,,,c,,,A
 3 split-horizon,^,,,c,,,A
 3 tcp-mss,^,,,c,,,A
 3 third-party-nexthop,^,,,c,,,A
 3 ttl-security,^,,,c,,,A
 3 type,^,,,c,,,A
 3 vpn-apply-export,^,,,c,,,A
 3 vpn-apply-import,^,,,c,,,A
 2 hold-time,^,,,c,,,A
 2 ibgp-multipath,^,,,c,,,A
 2 import,^,,,c,,,A
 2 initial-send-delay-zero,^,,,c,,,A
 2 keepalive,^,,,c,,,A
 2 label-allocation,^,,,c,,,A
 3 label-ipv6,^,,,c,,,A
 4 disable-explicit-null,^,,,c,,,A
 2 label-preference,^,,,c,,,A
 2 link-state-export-enable,^,,,c,,,A
 2 link-state-import-enable,^,,,c,,,A
 2 local-as,^,,,c,,,A
 2 local-preference,^,,,c,,,A
 2 loop-detect,^,,,c,,,A
 2 loop-detect-threshold,^,,,c,,,A
 2 med-out,^,,,c,,,A
 2 min-route-advertisement,^,,,c,,,A
 2 monitor,^,,,c,,,A
 3 route-monitoring,^,,,c,,,A
 3 shutdown,^,,,c,,,A
 3 station,^,,,c,,,A
 2 mp-bgp-keep,^,,,c,,,A
 2 multi-path,^,,,c,,,A
 3 ipv4,^,,,c,,,A
 3 ipv6,^,,,c,,,A
 3 label-ipv4,^,,,c,,,A
 3 label-ipv6,^,,,c,,,A
 3 maximum-paths,^,,,c,,,A
 2 multihop,^,,,c,,,A
 2 mvpn-vrf-import-subtype-new,^,,,c,,,A
 2 neighbor-trust,^,,,c,,,A
 2 next-hop-resolution,^,,,c,,,A
 3 allow-unresolved-leaking,^,,,c,,,A
 3 labeled-routes,^,,,c,,,A
 4 allow-static,^,,,c,,,A
 4 prefer-transport-frr,^,,,c,,,
 4 rr-use-route-table,^,,,c,,,A
 4 transport-tunnel,^,,,c,,,A
 5 family,^,,,c,,,A
 6 allow-flex-algo-fallback,^,,,c,,,A
 6 ecmp,^,,,c,,,
 6 enforce-strict-tunnel-tagging,^,,,c,,,A
 6 enforce-untagged-route,^,,,c,,,A
 6 resolution,^,,,c,,,A
 6 resolution-filter,^,,,c,,,A
 7 bgp,^,,,c,,,A
 7 ldp,^,,,c,,,A
 7 mpls-fwd-policy,^,,,c,,,A
 7 rib-api,^,,,c,,,A
 7 rsvp,^,,,c,,,A
 7 sr-isis,^,,,c,,,A
 7 sr-ospf,^,,,c,,,A
 7 sr-ospf3,^,,,c,,,A
 7 sr-policy,^,,,c,,,A
 7 sr-te,^,,,c,,,A
 7 udp,^,,,c,,,A
 4 use-bgp-routes,^,,,c,,,A
 5 label-ipv6-explicit-null,^,,,c,,,A
 3 policy,^,,,c,,,A
 3 shortcut-tunnel,^,,,c,,,A
 4 family,^,,,c,,,A
 5 allow-flex-algo-fallback,^,,,c,,,A
 5 disallow-igp,^,,,c,,,A
 5 enforce-strict-tunnel-tagging,^,,,c,,,A
 5 enforce-untagged-route,^,,,c,,,A
 5 resolution,^,,,c,,,A
 5 resolution-filter,^,,,c,,,A
 6 bgp,^,,,c,,,A
 6 ldp,^,,,c,,,A
 6 mpls-fwd-policy,^,,,c,,,A
 6 rib-api,^,,,c,,,A
 6 rsvp,^,,,c,,,A
 6 sr-isis,^,,,c,,,A
 6 sr-ospf,^,,,c,,,A
 6 sr-ospf3,^,,,c,,,A
 6 sr-policy,^,,,c,,,A
 6 sr-te,^,,,c,,,A
 3 use-bgp-routes,^,,,c,,,A
 3 use-leaked-routes,^,,,c,,,A
 4 static,^,,,c,,,A
 3 vpn-family-policy,^,,,c,,,A
 3 weighted-ecmp,^,,,c,,,A
 2 optimal-route-reflection,^,,,c,,,A
 3 location,^,,,c,,,A
 4 primary-ip-address,^,,,c,,,A
 4 primary-ipv6-address,^,,,c,,,A
 4 secondary-ip-address,^,,,c,,,A
 4 secondary-ipv6-address,^,,,c,,,A
 4 tertiary-ip-address,^,,,c,,,A
 4 tertiary-ipv6-address,^,,,c,,,A
 3 spf-wait,^,,,c,,,A
 2 outbound-route-filtering,^,,,c,,,A
 3 extended-community,^,,,c,,,A
 4 accept-orf,^,,,c,,,A
 4 send-orf,^,,,c,,,A
 2 override-tunnel-elc,^,,,c,,,A
 2 path-mtu-discovery,^,,,c,,,A
 2 peer-tracking-policy,^,,,c,,,A
 2 preference,^,,,c,,,A
 2 purge-timer,^,,,c,,,A
 2 rapid-update,^,,,c,,,A
 2 rapid-withdrawal,^,,,c,,,A
 2 remove-private,^,,,c,,,A
 2 rib-management,^,,,c,,,A
 3 ipv4,^,,,c,,,A
 4 leak-import,^,,,c,,,A
 4 route-table-import,^,,,c,,,A
 3 ipv6,^,,,c,,,A
 4 leak-import,^,,,c,,,A
 4 route-table-import,^,,,c,,,A
 3 label-ipv4,^,,,c,,,A
 4 leak-import,^,,,c,,,A
 4 route-table-import,^,,,c,,,A
 3 label-ipv6,^,,,c,,,A
 4 route-table-import,^,,,c,,,A
 2 route-target-list,^,,,c,,,A
 2 router-id,^,,,c,,,A
 2 segment-routing,^,,,c,,,A
 3 prefix-sid-range,^,,,c,,,A
 3 shutdown,^,,,c,,,A
 2 segment-routing-v6,^,,,c,,,G
 3 family,^,,,c,,,G
 4 add-srv6-tlvs,^,,,c,,,G
 4 ignore-received-srv6-tlvs,^,,,c,,,G
 4 resolution,^,,,c,,,G
 4 upa-trigger,^,,,c,,,G
 5 next-hop,^,,,c,,,G
 3 source-address,^,,,c,,,G
 2 selective-label-ip,^,,,c,,,A
 2 selective-label-ip-prioritization,^,,,c,,,A
 2 selective-label-ipv4-install,^,,,c,,,A
 2 send-default,^,,,c,,,A
 2 shutdown,^,,,c,,,A
 2 split-horizon,^,,,c,,,A
 2 sr-policy-import,^,,,c,,,A
 2 tcp-mss,^,,,c,,,A
 2 third-party-nexthop,^,,,c,,,A
 2 vpn-apply-export,^,,,c,,,A
 2 vpn-apply-import,^,,,c,,,A
  bier,^,,,c,,,A
 2 bfd-enable,^,,,c,,,A
 2 fast-reroute,^,,,c,,,A
 2 shutdown,^,,,c,,,A
 2 template,^,,,c,,,A
 3 shutdown,^,,,c,,,A
 3 sub-domain,^,,,c,,,A
 4 bfr-id,^,,,c,,,A
 4 mt,^,,,c,,,A
 4 prefix,^,,,c,,,A
  class-forwarding,^,,,c,,,A
  confederation,^,,,c,,,A
  description,^,,,c,,,A
  dhcp,^,,,c,,,B
 2 local-dhcp-server,^,,,c,,,B
 3 description,^,,,c,,,B
 3 failover,^,,,c,,,B
 4 ignore-mclt-on-takeover,^,,,c,,,B
 4 maximum-client-lead-time,^,,,c,,,B
 4 partner-down-delay,^,,,c,,,B
 4 peer,^,,,c,,,B
 4 shutdown,^,,,c,,,B
 4 startup-wait-time,^,,,c,,,B
 3 force-renews,^,,,c,,,B
 3 lease-hold-time,^,,,c,,,B
 3 lease-hold-time-for,^,,,c,,,B
 4 internal-lease-ipsec,^,,,c,,,B
 4 solicited-release,^,,,c,,,B
 3 pool,^,,,c,,,B
 4 description,^,,,c,,,B
 4 failover,^,,,c,,,B
 5 ignore-mclt-on-takeover,^,,,c,,,B
 5 maximum-client-lead-time,^,,,c,,,B
 5 partner-down-delay,^,,,c,,,B
 5 peer,^,,,c,,,B
 5 shutdown,^,,,c,,,B
 5 startup-wait-time,^,,,c,,,B
 4 max-lease-time,^,,,c,,,B
 4 min-lease-time,^,,,c,,,B
 4 minimum-free,^,,,c,,,B
 4 nak-non-matching-subnet,^,,,c,,,B
 4 offer-time,^,,,c,,,B
 4 options,^,,,c,,,B
 5 custom-option,^,,,c,,,B
 5 dns-server,^,,,c,,,B
 5 domain-name,^,,,c,,,B
 5 lease-rebind-time,^,,,c,,,B
 5 lease-renew-time,^,,,c,,,B
 5 lease-time,^,,,c,,,B
 5 netbios-name-server,^,,,c,,,B
 5 netbios-node-type,^,,,c,,,B
 4 subnet,^,,,c,,,B
 5 address-range,^,,,c,,,B
 5 drain,^,,,c,,,B
 5 exclude-addresses,^,,,c,,,B
 5 maximum-declined,^,,,c,,,B
 5 minimum-free,^,,,c,,,B
 5 options,^,,,c,,,B
 6 custom-option,^,,,c,,,B
 6 default-router,^,,,c,,,B
 6 subnet-mask,^,,,c,,,B
 3 shutdown,^,,,c,,,B
 3 use-gi-address,^,,,c,,,B
 3 use-pool-from-client,^,,,c,,,B
 3 user-db,^,,,c,,,B
 3 user-ident,^,,,c,,,B
  dhcp6,^,,,c,,,B
 2 local-dhcp-server,^,,,c,,,B
 3 allow-lease-query,^,,,c,,,B
 3 defaults,^,,,c,,,D
 4 options,^,,,c,,,D
 5 custom-option,^,,,c,,,D
 5 dns-server,^,,,c,,,D
 5 domain-name,^,,,c,,,D
 4 preferred-lifetime,^,,,c,,,D
 4 rebind-timer,^,,,c,,,D
 4 renew-timer,^,,,c,,,D
 4 valid-lifetime,^,,,c,,,D
 3 description,^,,,c,,,B
 3 failover,^,,,c,,,B
 4 ignore-mclt-on-takeover,^,,,c,,,B
 4 maximum-client-lead-time,^,,,c,,,B
 4 partner-down-delay,^,,,c,,,B
 4 peer,^,,,c,,,B
 4 shutdown,^,,,c,,,B
 4 startup-wait-time,^,,,c,,,B
 3 ignore-rapid-commit,^,,,c,,,B
 3 interface-id-mapping,^,,,c,,,B
 3 lease-hold-time,^,,,c,,,B
 3 lease-hold-time-for,^,,,c,,,B
 4 internal-lease-ipsec,^,,,c,,,B
 4 solicited-release,^,,,c,,,B
 3 pool,^,,,c,,,B
 4 delegated-prefix-length,^,,,c,,,B
 4 description,^,,,c,,,B
 4 exclude-prefix,^,,,c,,,B
 4 failover,^,,,c,,,B
 5 ignore-mclt-on-takeover,^,,,c,,,B
 5 maximum-client-lead-time,^,,,c,,,B
 5 partner-down-delay,^,,,c,,,B
 5 peer,^,,,c,,,B
 5 shutdown,^,,,c,,,B
 5 startup-wait-time,^,,,c,,,B
 4 options,^,,,c,,,B
 5 custom-option,^,,,c,,,B
 5 dns-server,^,,,c,,,B
 5 domain-name,^,,,c,,,B
 4 prefix,^,,,c,,,B
 5 drain,^,,,c,,,B
 5 options,^,,,c,,,B
 6 custom-option,^,,,c,,,B
 6 dns-server,^,,,c,,,B
 6 domain-name,^,,,c,,,B
 5 preferred-lifetime,^,,,c,,,B
 5 rebind-timer,^,,,c,,,B
 5 renew-timer,^,,,c,,,B
 5 thresholds,^,,,c,,,B
 6 minimum-free,^,,,c,,,B
 7 depleted-event,^,,,c,,,B
 7 minimum,^,,,c,,,B
 5 valid-lifetime,^,,,c,,,B
 4 thresholds,^,,,c,,,B
 5 minimum-free,^,,,c,,,B
 6 depleted-event,^,,,c,,,B
 6 minimum,^,,,c,,,B
 3 server-id,^,,,c,,,B
 3 shutdown,^,,,c,,,B
 3 use-link-address,^,,,c,,,B
 3 use-pool-from-client,^,,,c,,,B
 3 user-db,^,,,c,,,B
 3 user-ident,^,,,c,,,B
  disable-selective-fib,^,,,c,,,C
  dns,^,,,c,,,A
 2 redirect-vprn,^,,,c,,,A
 3 service,^,,,c,,,A
  ecmp,^,,,c,,,A
  entropy-label,^,,,c,,,A
  fib-priority,^,,,c,,,A
  fib-telemetry,^,,,c,,,A
  firewall,^,,,c,,,D
 2 domain,^,,,c,,,E
 3 dhcp6-server,^,,,c,,,E
 3 prefix,^,,,c,,,E
 4 description,^,,,c,,,E
 3 shutdown,^,,,c,,,E
  flexible-algorithm-definitions,^,,,c,,,A
 2 flex-algo,^,,,c,,,A
 3 description,^,,,c,,,A
 3 exclude,^,,,c,,,A
 4 admin-group,^,,,c,,,A
 3 flags-tlv,^,,,c,,,A
 3 include-all,^,,,c,,,A
 4 admin-group,^,,,c,,,A
 3 include-any,^,,,c,,,A
 4 admin-group,^,,,c,,,A
 3 metric-type,^,,,c,,,A
 3 priority,^,,,c,,,A
 3 shutdown,^,,,c,,,A
  flowspec,^,,,c,,,A
 2 filter-cam-type,^,,,c,,,A
 2 ip-filter-max-size,^,,,c,,,A
 2 ipv6-filter-max-size,^,,,c,,,A
  gtm,^,,,c,,,A
 2 mvpn,^,,,c,,,A
 2 provider-tunnel,^,,,c,,,A
 3 inclusive,^,,,c,,,A
 4 rsvp,^,,,c,,,A
 5 lsp-template,^,,,c,,,A
 5 shutdown,^,,,c,,,A
 3 selective,^,,,c,,,A
 4 data-delay-interval,^,,,c,,,A
 4 data-threshold,^,,,c,,,A
 4 maximum-p2mp-spmsi,^,,,c,,,A
 4 rsvp,^,,,c,,,A
 5 lsp-template,^,,,c,,,A
 5 shutdown,^,,,c,,,A
  gtp,^,,,c,,,E
 2 s11,^,,,c,,,E
 3 interface,^,,,c,,,E
 4 apn-policy,^,,,c,,,E
 3 peer-profile-map,^,,,c,,,E
 4 address,^,,,c,,,E
 2 upf-data-endpoint,^,,,c,,,E
 2 uplink,^,,,c,,,E
 3 apn,^,,,c,,,E
 3 pdn-type,^,,,c,,,E
 3 peer-profile-map,^,,,c,,,E
 4 address,^,,,c,,,E
  icmp-tunneling,^,,,c,,,A
  if-attribute,^,,,c,,,A
 2 admin-group,^,,,c,,,A
 2 srlg-group,^,,,c,,,A
  igmp,^,,,c,,,A
 2 group-interface,^,,,c,,,B
 3 disable-router-alert-check,^,,,c,,,B
 3 import,^,,,c,,,B
 3 max-groups,^,,,c,,,B
 3 max-grp-sources,^,,,c,,,B
 3 max-sources,^,,,c,,,B
 3 mcac,^,,,c,,,B
 4 if-policy,^,,,c,,,B
 4 mc-constraints,^,,,c,,,B
 5 shutdown,^,,,c,,,B
 4 policy,^,,,c,,,B
 4 unconstrained-bw,^,,,c,,,B
 3 query-interval,^,,,c,,,B
 3 query-last-member-interval,^,,,c,,,B
 3 query-response-interval,^,,,c,,,B
 3 query-src-ip,^,,,c,,,B
 3 shutdown,^,,,c,,,B
 3 sub-hosts-only,^,,,c,,,B
 3 subnet-check,^,,,c,,,B
 3 version,^,,,c,,,B
 2 grp-if-query-src-ip,^,,,c,,,A
 2 interface,^,,,c,,,A
 3 disable-router-alert-check,^,,,c,,,A
 3 import,^,,,c,,,A
 3 max-groups,^,,,c,,,A
 3 max-grp-sources,^,,,c,,,A
 3 max-sources,^,,,c,,,A
 3 mcac,^,,,c,,,A
 4 if-policy,^,,,c,,,A
 4 mc-constraints,^,,,c,,,A
 5 level,^,,,c,,,A
 5 number-down,^,,,c,,,A
 5 shutdown,^,,,c,,,A
 5 use-lag-port-weight,^,,,c,,,A
 4 policy,^,,,c,,,A
 4 unconstrained-bw,^,,,c,,,A
 3 query-interval,^,,,c,,,A
 3 query-last-member-interval,^,,,c,,,A
 3 query-response-interval,^,,,c,,,A
 3 redundant-multicast,^,,,c,,,A
 3 shutdown,^,,,c,,,A
 3 ssm-translate,^,,,c,,,A
 4 grp-range,^,,,c,,,A
 5 source,^,,,c,,,A
 3 static,^,,,c,,,A
 4 group,^,,,c,,,A
 5 source,^,,,c,,,A
 5 starg,^,,,c,,,A
 3 subnet-check,^,,,c,,,A
 3 version,^,,,c,,,A
 2 query-interval,^,,,c,,,A
 2 query-last-member-interval,^,,,c,,,A
 2 query-response-interval,^,,,c,,,A
 2 robust-count,^,,,c,,,A
 2 shutdown,^,,,c,,,A
 2 ssm-translate,^,,,c,,,A
 3 grp-range,^,,,c,,,A
 4 source,^,,,c,,,A
 2 tunnel-interface,^,,,c,,,A
 3 shutdown,^,,,c,,,A
 3 static,^,,,c,,,A
 4 group,^,,,c,,,A
 5 source,^,,,c,,,A
 5 starg,^,,,c,,,A
  interface,^,,,c,,,A
 2 accounting-policy,^,,,c,,,
 2 address,^,,,c,,,A
 2 allow-directed-broadcasts,^,,,c,,,A
 2 arp-host-route,^,,,c,,,
 3 populate,^,,,c,,,
 2 arp-learn-unsolicited,^,,,c,,,A
 2 arp-limit,^,,,c,,,A
 2 arp-proactive-refresh,^,,,c,,,A
 2 arp-retry-timer,^,,,c,,,A
